activityID,catalog,startTime,sourceLocation,activeRegionNum,link,note,instruments,cmeAnalyses,linkedEvents
2024-02-22T00:24:00-CME-001,M2M_CATALOG,2024-02-22T00:24Z,S36E90,,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CME/29341/-1,"Fast CME from just behing the SE limb associated with an occulted M-class flare from active region ready to rotate onto the visible disk. After 2024-02-21T23:55Z there is ejecta seen in AIA 304/171 and as a beautiful double helix prominence in GOES SUVI 304, as well as opening of field lines behind the limb followed by post-eruptive arcades in AIA 193.","[{'displayName': 'SOHO: LASCO/C2'}, {'displayName': 'SOHO: LASCO/C3'}]","[{'time21_5': '2024-02-22T03:20Z', 'latitude': -58.0, 'longitude': -92.0, 'halfAngle': 33.0, 'speed': 1151.0, 'type': 'O', 'isMostAccurate': True, 'note': 'One coronagraph (SOHO LASCO) analysis based on the apparent location of the source just behind the limb.', 'levelOfData': 0, 'link': 'https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CMEAnalysis/29342/-1', 'enlilList': None}]",[{'activityID': '2024-02-21T23:58:00-FLR-001'}]
2024-02-22T11:12:00-CME-001,M2M_CATALOG,2024-02-22T11:12Z,S42E9,,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CME/29346/-1,Narrow faint CME/outflow in the SSE with the source a minor eruption from behind the SE limb seen in AIA 193/171 as minor opening of field lines at latitude ~S42.,"[{'displayName': 'SOHO: LASCO/C2'}, {'displayName': 'SOHO: LASCO/C3'}]","[{'time21_5': '2024-02-22T16:48Z', 'latitude': -63.0, 'longitude': -90.0, 'halfAngle': 10.0, 'speed': 619.0, 'type': 'C', 'isMostAccurate': True, 'note': 'Analysis based on fit with two coronagraphs in swpc_cat and confirmed by source location seen behind the SE limb in EUVI imagery.', 'levelOfData': 0, 'link': 'https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CMEAnalysis/29347/-1', 'enlilList': None}]",
2024-02-22T17:00:00-CME-001,M2M_CATALOG,2024-02-22T17:00Z,N05E90,,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CME/29356/-1,Narrow faint slow CME/outflow. Source is likely behind thelimb - a C9.4 class flare from the east limb/behind the limb peaking at 2024-02-22T16:29Z. There is a faint opening of field lines behind the limb in AIA 193 and 171 around 16:30Z indicating eruption and CME.,"[{'displayName': 'SOHO: LASCO/C2'}, {'displayName': 'SOHO: LASCO/C3'}, {'displayName': 'STEREO A: SECCHI/COR2'}]","[{'time21_5': '2024-02-23T09:05Z', 'latitude': 3.0, 'longitude': None, 'halfAngle': 13.0, 'speed': 233.0, 'type': 'S', 'isMostAccurate': True, 'note': '', 'levelOfData': 0, 'link': 'https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CMEAnalysis/29357/-1', 'enlilList': None}]",[{'activityID': '2024-02-22T16:17:00-FLR-001'}]
2024-02-23T14:00:00-CME-001,M2M_CATALOG,2024-02-23T14:00Z,,,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CME/29366/-1,"Faint CME seen to the NE in SOHO LASCO C2, a few frames of SOHO LASCO C3 before becoming diffuse, and one frame of STEREO A COR2 before a data gap lasting from 2024-02-23T14:23Z to 2024-02-24T03:23Z. Source is moving field lines beyond the NE limb seen in SDO AIA 171 around 2023-02-23T12:30Z.","[{'displayName': 'SOHO: LASCO/C2'}, {'displayName': 'SOHO: LASCO/C3'}, {'displayName': 'STEREO A: SECCHI/COR2'}]","[{'time21_5': '2024-02-24T01:50Z', 'latitude': 61.0, 'longitude': None, 'halfAngle': 21.0, 'speed': 290.0, 'type': 'S', 'isMostAccurate': True, 'note': 'Measurement of faint leading edge, which becomes diffuse in C3 after a handful of frames. Only one frame of STEREO A COR2 containing this CME is available.', 'levelOfData': 1, 'link': 'https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CMEAnalysis/29367/-1', 'enlilList': None}]",
2024-02-24T17:00:00-CME-001,M2M_CATALOG,2024-02-24T17:00Z,S12E75,,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CME/29373/-1,Visible in the east of SOHO LASCO C2/C3. Not visible in STEREO A COR2 due to a data gap from 2024-02-24T14:53Z to 2024-02-25T03:09Z. Source is a small filament eruption seen centered at S12E75 in SDO AIA 304 at 2024-02-24T16:00Z.,"[{'displayName': 'SOHO: LASCO/C2'}, {'displayName': 'SOHO: LASCO/C3'}]","[{'time21_5': '2024-02-25T03:08Z', 'latitude': -10.0, 'longitude': -75.0, 'halfAngle': 39.0, 'speed': 368.0, 'type': 'S', 'isMostAccurate': True, 'note': 'Measurement using longitude approximated from source location.', 'levelOfData': 0, 'link': 'https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CMEAnalysis/29374/-1', 'enlilList': [{'modelCompletionTime': '2024-02-25T16:11Z', 'au': 2.0, 'estimatedShockArrivalTime': None, 'estimatedDuration': None, 'rmin_re': None, 'kp_18': None, 'kp_90': None, 'kp_135': None, 'kp_180': None, 'isEarthGB': False, 'link': 'https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/WSA-ENLIL/29375/-1', 'impactList': [{'isGlancingBlow': True, 'location': 'Psyche', 'arrivalTime': '2024-03-03T06:00Z'}, {'isGlancingBlow': True, 'location': 'Solar Orbiter', 'arrivalTime': '2024-02-27T16:00Z'}], 'cmeIDs': ['2024-02-24T17:00:00-CME-001']}]}]",
2024-02-25T05:36:00-CME-001,M2M_CATALOG,2024-02-25T05:36Z,N10W90,,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CME/29371/-1,CME visible to the west in SOHO LASCO C2/C3 and STEREO A COR2. The source is a filament eruption seen lifting off in SDO AIA 304 starting around 2024-02-25T03:45Z. Opening field lines are also visible in SDO AIA 171/193 and GOES SUVI 284.,"[{'displayName': 'SOHO: LASCO/C2'}, {'displayName': 'SOHO: LASCO/C3'}, {'displayName': 'STEREO A: SECCHI/COR2'}]","[{'time21_5': '2024-02-25T11:46Z', 'latitude': 2.0, 'longitude': 90.0, 'halfAngle': 29.0, 'speed': 580.0, 'type': 'C', 'isMostAccurate': True, 'note': 'Measurement of leading edge using best fit between SOHO LASCO C2/C3 and STEREO A COR2 in SWPC_CAT.', 'levelOfData': 0, 'link': 'https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CMEAnalysis/29372/-1', 'enlilList': [{'modelCompletionTime': '2024-02-25T16:33Z', 'au': 2.0, 'estimatedShockArrivalTime': None, 'estimatedDuration': None, 'rmin_re': None, 'kp_18': None, 'kp_90': None, 'kp_135': None, 'kp_180': None, 'isEarthGB': False, 'link': 'https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/WSA-ENLIL/29377/-1', 'impactList': [{'isGlancingBlow': True, 'location': 'Mars', 'arrivalTime': '2024-03-02T00:00Z'}, {'isGlancingBlow': True, 'location': 'OSIRIS-APEX', 'arrivalTime': '2024-02-27T20:00Z'}], 'cmeIDs': ['2024-02-25T05:36:00-CME-001']}, {'modelCompletionTime': '2024-02-25T16:47Z', 'au': 5.5, 'estimatedShockArrivalTime': None, 'estimatedDuration': None, 'rmin_re': None, 'kp_18': None, 'kp_90': None, 'kp_135': None, 'kp_180': None, 'isEarthGB': False, 'link': 'https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/WSA-ENLIL/29378/-1', 'impactList': [{'isGlancingBlow': False, 'location': 'Lucy', 'arrivalTime': '2024-03-03T06:00Z'}, {'isGlancingBlow': True, 'location': 'Mars', 'arrivalTime': '2024-03-02T00:00Z'}, {'isGlancingBlow': True, 'location': 'OSIRIS-APEX', 'arrivalTime': '2024-02-27T20:00Z'}], 'cmeIDs': ['2024-02-25T05:36:00-CME-001']}]}]",
2024-02-25T10:24:00-CME-001,M2M_CATALOG,2024-02-25T10:24Z,S36E55,13591,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CME/29380/-1,CME visible to the SE in SOHO LASCO C2/C3 and STEREO A COR2. The source is an eruption starting around 2024-02-25T09:33Z in SDO AIA 193 from AR 3591 (approx. S36E55). Opening field lines were also visible in SDO AIA 171 and GOES SUVI 284. Brightening visible in SDO AIA 94.,"[{'displayName': 'SOHO: LASCO/C2'}, {'displayName': 'SOHO: LASCO/C3'}, {'displayName': 'STEREO A: SECCHI/COR2'}]","[{'time21_5': '2024-02-25T16:14Z', 'latitude': -60.0, 'longitude': -53.0, 'halfAngle': 28.0, 'speed': 563.0, 'type': 'C', 'isMostAccurate': True, 'note': 'Measurement based on source location and best fit between SOHO LASCO C2/C3 and STEREO A COR2 in SWPC_CAT.', 'levelOfData': 0, 'link': 'https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CMEAnalysis/29381/-1', 'enlilList': None}]",
2024-02-25T21:17:00-CME-001,M2M_CATALOG,2024-02-25T21:17Z,,,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CME/29384/-1,Faint puff-like CME feature to the NE seen in SOHO LASCO C2 and C3. There is a data gap in STEREO A COR2 during this event. There is no clear source for this CME and the front is fairly faint/diffuse which limits trackability into the SOHO LASCO C3 field of view.,"[{'displayName': 'SOHO: LASCO/C2'}, {'displayName': 'SOHO: LASCO/C3'}]","[{'time21_5': '2024-02-26T03:56Z', 'latitude': 85.0, 'longitude': None, 'halfAngle': 12.0, 'speed': 487.0, 'type': 'S', 'isMostAccurate': True, 'note': 'Faint front tracked within C2 and a few frames in the C3 field of view. Becomes too diffuse/faint to track well into C3. No STEREO A COR2 imagery for this event.', 'levelOfData': 0, 'link': 'https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CMEAnalysis/29385/-1', 'enlilList': None}]",
2024-02-27T05:00:00-CME-001,M2M_CATALOG,2024-02-27T05:00Z,,,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CME/29388/-1,"CME seen to the NE in all coronagraphs. Source appears to be far-sided, evidenced by field line movement over the NE  in SDO AIA 171 around 2024-02-2702:51Z. A weak eruption from AR 3595 on-disk starting around 2024-02-27T04:06Z lines up closely, but appears to be ruled out as a candidate as the field line movement is observed first.","[{'displayName': 'SOHO: LASCO/C2'}, {'displayName': 'SOHO: LASCO/C3'}, {'displayName': 'STEREO A: SECCHI/COR2'}]","[{'time21_5': '2024-02-27T15:35Z', 'latitude': 73.0, 'longitude': None, 'halfAngle': 30.0, 'speed': 347.0, 'type': 'S', 'isMostAccurate': True, 'note': 'Plane-of-sky measurement due to unknown, likely far-sided source.', 'levelOfData': 0, 'link': 'https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CMEAnalysis/29389/-1', 'enlilList': None}]",
2024-02-27T11:36:00-CME-001,M2M_CATALOG,2024-02-27T11:36Z,S38E02,,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CME/29390/-1,"CME seen to the S in all coronagraphs. Reanalysis of this CME from the initial entry finds the source to be front-sided, sourced at a filament centered around S38E02 (spanning approximatley S48W14 to S32E10) at 2024-02-27T08:01Z when it began to lift off best seen in SDO AIA 304. The filament fades moreso than it is observed leaving the disk, but it is the best candidate source and aligned well with coronagraph analysis between SOHO LASCO C2/C3 and STEREO COR2A.","[{'displayName': 'SOHO: LASCO/C2'}, {'displayName': 'STEREO A: SECCHI/COR2'}]","[{'time21_5': '2024-02-27T19:14Z', 'latitude': -44.0, 'longitude': 8.0, 'halfAngle': 27.0, 'speed': 430.0, 'type': 'S', 'isMostAccurate': True, 'note': 'Reanalysis of this CME using an on-disk, albeit slow, filament eruption centered around S38E02 as the source, noting some deflection to the southwest in the coronagraph imagery. Good triangulated fit between SOHO LASCO C2/C3 and STEREO COR2A imagery.', 'levelOfData': 0, 'link': 'https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CMEAnalysis/29398/-1', 'enlilList': [{'modelCompletionTime': '2024-02-28T16:52Z', 'au': 2.0, 'estimatedShockArrivalTime': '2024-03-02T08:00Z', 'estimatedDuration': None, 'rmin_re': None, 'kp_18': None, 'kp_90': 2, 'kp_135': 3, 'kp_180': 3, 'isEarthGB': True, 'link': 'https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/WSA-ENLIL/29399/-1', 'impactList': [{'isGlancingBlow': True, 'location': 'STEREO A', 'arrivalTime': '2024-03-02T04:00Z'}], 'cmeIDs': ['2024-02-27T11:36:00-CME-001']}]}, {'time21_5': '2024-02-27T22:34Z', 'latitude': -89.0, 'longitude': None, 'halfAngle': 33.0, 'speed': 326.0, 'type': 'S', 'isMostAccurate': False, 'note': 'Plane-of-sky measurement using only STEREO COR2A imagery, as SOHO is within a long, planned gap between downlink period and no source is clear.', 'levelOfData': 0, 'link': 'https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CMEAnalysis/29391/-1', 'enlilList': None}]",
